;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Benin; Beer;0.37;0.54;0.58;0.65;0.46;0.46;0.52;0.46;0.44;0.61;0.99;0.80;0.89;0.81;0.83;0.85;0.80;0.87;0.98;0.79
Benin; Wine;0.12;0.12;0.10;0.09;0.06;0.04;0.11;0.08;0.05;0.07;0.09;0.10;0.11;0.12;0.07;0.08;0.09;0.15;0.18;0.11
Benin; Spirits;0.68;0.60;0.49;0.54;0.31;0.20;0.34;0.29;0.28;0.26;0.30;0.45;0.54;0.33;0.34;0.50;0.76;Jan 47;Jan 18;0.96
Benin; Other alcoholic beverages;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bhutan; All types;Mrz 25;Jan 79;Jan 92;Mrz 16;Jan 82;Jan 81;3.00;02. Sep;Jan 82;Jan 74;0.31;0.32;0.46;0.46;0.50;0.51;0.51;0.55;0.52;0.50
Bhutan; Beer;Mrz 25;Jan 79;Jan 92;Mrz 16;Jan 82;Jan 81;3.00;02. Sep;Jan 82;Jan 74;0.31;0.32;0.46;0.46;0.50;0.51;0.51;0.55;0.52;0.50
Bhutan; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bhutan; Spirits;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bhutan; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Bolivia (Plurinational State of); All types;Mrz 68;Mrz 17;03. Sep;Feb 97;Mrz 13;03. Okt;Feb 97;Feb 95;Mrz 17;Feb 88;03. Mai;Mrz 14;03. Jun;Mrz 30;Mrz 41;Feb 99;Mrz 54;Mrz 96;Apr 86;Apr 66
Bolivia (Plurinational State of); Beer;Feb 20;Jan 68;Jan 73;Jan 67;Jan 72;Jan 60;Jan 63;Jan 36;Jan 37;Jan 33;Jan 26;01. Okt;Jan 16;Jan 14;1.00;0.94;0.94;Jan 24;Jan 63;Jan 64
Bolivia (Plurinational State of); Wine;0.06;0.06;0.06;0.06;0.06;0.06;0.07;0.06;0.07;0.07;0.08;0.09;0.10;0.09;0.09;0.09;0.09;0.09;0.09;0.09
Bolivia (Plurinational State of); Spirits;Jan 40;Jan 43;Jan 29;Jan 25;Jan 34;Jan 44;Jan 27;Jan 52;Jan 73;Jan 49;Jan 71;Jan 95;Jan 80;02. Jun;Feb 32;Jan 96;Feb 51;Feb 63;Mrz 14;Feb 93
Bolivia (Plurinational State of); Other alcoholic beverages;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bosnia and Herzegovina; All types;Aug 57;Aug 37;10.00;Sep 68;Aug 47;Aug 19;Aug 55;10. Mrz;13.79;Nov 87;;;;;;;;;;
Bosnia and Herzegovina; Beer;Jan 59;Jan 72;Jan 76;Jan 46;01. Sep;01. Sep;0.92;0.87;Feb 15;Feb 68;;;;;;;;;;
Bosnia and Herzegovina; Wine;0.20;0.28;0.21;0.15;0.78;0.43;0.48;0.84;0.68;0.59;;;;;;;;;;
